symbol
AAPL
ABBV
AIG
AMZN
AXP
BAC
COF
COP
COST
ESGU
ESGV
F
FITLX
GE
GM
GOOG
GOOGL
GOVT
IEMG
JPM
LLY
MCD
MET
MSFT
NFLX
NVDA
ORCL
Q
RTX
SCHD
SCHF
SLB
SPG
TJX
UNH
UNP
V
VEA
VIG
VOO
VTEB
VV
VWO
VXF
WMT
XOM
